Phase(pi),In1_Out2_Raw,In1_Out2_Norm,In1_Out3_Raw,In1_Out3_Norm
0.0,8.20911009,0.5061485242966614,7.99745885,0.49309875865616204
0.3,7.575932160000001,0.4671087171344804,8.34985804,0.51482661076514
0.6,7.24519532,0.44671649901811433,8.5769143,0.5288262026418911
0.8999999999999999,7.46464684,0.4602472059747632,8.50679044,0.5245025807306413
1.2,8.0403388,0.4957426047218706,8.112652720000002,0.5002012590087335
1.5,8.43784801,0.5202518021659301,7.7095573900000005,0.4753476385561447
1.7999999999999998,8.459500349999999,0.521586818972675,7.759276740000001,0.47841318102732494
2.1,7.96462791,0.4910745036942856,8.12790768,0.5011418330061037
2.4,7.36896845,0.45434797020198764,8.45744398,0.5214600295120032
2.6999999999999997,7.24811616,0.44689658904486496,8.577066180000001,0.5288355670963847
3.0,7.55918154,0.4660759253335296,8.27141685,0.5099901678222029
3.3,8.00208181,0.4933837961762134,7.746703889999999,0.47763797769786104
3.5999999999999996,8.22048241,0.5068497066322281,7.43547025,0.4584482670141932
3.9,8.08592176,0.4985531100853178,7.6330979899999996,0.4706333867000573
4.2,7.57573935,0.4670968290618513,8.050482389999999,0.4963680273381203
4.5,7.1542463,0.44110886167928703,8.42465215,0.51943818595265
4.8,7.34171044,0.45266732499373663,8.575043469999999,0.5287108530079686
5.1,7.85323664,0.4842064599828593,8.25248298,0.508822763529331
5.3999999999999995,8.31987745,0.5129780996330346,7.7944514499999995,0.4805819456514893
5.7,8.46008697,0.5216229881608171,7.681062020000001,0.473590701529273
6.0,8.11371774,0.5002669248720775,7.985728190000001,0.49237548217638155
