Phase(pi),In1_Out7_Raw,In1_Out7_Norm,In1_Out8_Raw,In1_Out8_Norm
0.0,16.2276938,0.3805036751936833,26.4202354,0.6194963248063167
0.05,16.2645883,0.38152109595542777,26.366313299999998,0.6184789040445722
0.1,16.2007345,0.3816620477836653,26.2471185,0.6183379522163348
0.15000000000000002,16.1453936,0.3817364954023259,26.149209600000002,0.6182635045976742
0.2,16.1070802,0.3818169884264942,26.0782617,0.6181830115735059
0.25,16.0943109,0.3814757860635048,26.095289299999997,0.6185242139364951
0.30000000000000004,16.182286299999998,0.38182735858021516,26.198873499999998,0.6181726414197849
0.35000000000000003,16.193638699999997,0.3823897045265691,26.154882999999998,0.6176102954734309
0.4,16.1453936,0.3823265502623854,26.0839352,0.6176734497376146
0.45,15.9807933,0.38212670866720977,25.8398723,0.6178732913327902
0.5,15.922614699999999,0.38257887312732686,25.6965541,0.6174211268726733
0.55,15.8715302,0.38291808692379165,25.5773612,0.6170819130762083
0.6000000000000001,15.827541599999998,0.3831159456508875,25.4851257,0.6168840543491124
0.65,15.5451653,0.3768762960848926,25.7022293,0.6231237039151074
0.7000000000000001,15.569288699999998,0.3772794078707918,25.6979747,0.6227205921292082
0.75,15.562192900000001,0.3765248702276134,25.7689226,0.6234751297723866
0.8,15.6629412,0.3767763572691554,25.9079825,0.6232236427308445
0.8500000000000001,15.8303792,0.3766641715424315,26.1974546,0.6233358284575686
0.9,16.0205236,0.3770636576143796,26.4670598,0.6229363423856203
0.9500000000000001,16.2021533,0.37669624642737726,26.8090353,0.6233037535726228
1.0,16.3397945,0.3779388154049503,26.8941731,0.6220611845950498
