Phase(pi),In1_Out7_Raw,In1_Out7_Norm,In1_Out8_Raw,In1_Out8_Norm
0.0,0.218738762,0.0023909581205340752,91.2670803,0.9976090418794659
0.1,0.261246811,0.0028520660735500683,91.3378972,0.9971479339264498
0.2,0.218738762,0.0023905881360078963,91.28123930000001,0.9976094118639921
0.30000000000000004,0.190410418,0.0020803445726833673,91.3378972,0.9979196554273166
0.4,0.176241059,0.001923154594365576,91.4654083,0.9980768454056343
0.5,0.16207169999999999,0.0017647186199830419,91.67789540000001,0.9982352813800169
0.6000000000000001,0.204579763,0.0022258508191856574,91.7062353,0.9977741491808144
0.7000000000000001,0.190410418,0.002079057264221458,91.39456960000001,0.9979209427357786
0.8,0.176241059,0.0019261322289607493,91.3237382,0.9980738677710392
0.9,0.190410418,0.002082600749284365,91.2387404,0.9979173992507157
1.0,0.261246811,0.002867142309141167,90.8562433,0.9971328576908588
1.1,0.218738762,0.0024006234554621157,90.8987422,0.9975993765445379
1.2000000000000002,0.24707745199999998,0.002700718622854816,91.2387404,0.9972992813771452
1.3,0.218738762,0.0023861551489484283,91.4512275,0.9976138448510515
1.4000000000000001,0.218738762,0.002373318082378366,91.9470622,0.9976266819176216
1.5,0.218738762,0.002369311986336519,92.1028986,0.9976306880136635
1.6,0.303744514,0.003288554408812514,92.0603998,0.9967114455911875
1.7000000000000002,0.204579763,0.0022234520789437707,91.805392,0.9977765479210563
1.8,0.232908107,0.0025411164624449564,91.4229095,0.9974588835375551
1.9000000000000001,0.261246811,0.002860470971520922,91.0687522,0.997139529028479
2.0,0.218738762,0.0023987587480690433,90.9695736,0.997601241251931
