Phase(pi),In1_Out6_Raw,In1_Out6_Norm,In1_Out7_Raw,In1_Out7_Norm
0.0,23.163673199999998,0.578044435160156,16.9088053,0.42195556483984387
0.04878048780487805,23.1778631,0.5773150380092638,16.969823299999998,0.42268496199073624
0.0975609756097561,23.4006438,0.5763455425715073,17.2011169,0.4236544574284927
0.14634146341463417,23.5510543,0.5753449427566082,17.382744799999998,0.42465505724339175
0.1951219512195122,23.559570800000003,0.574259003972414,17.4664656,0.42574099602758597
0.24390243902439024,23.424767300000003,0.5733130915211994,17.4338275,0.4266869084788006
0.29268292682926833,23.2771908,0.5715472035338216,17.449438,0.42845279646617845
0.34146341463414637,23.335369399999998,0.5718599250760913,17.470723800000002,0.4281400749239087
0.3902439024390244,23.255905,0.5689036739866663,17.6225531,0.43109632601333364
0.43902439024390244,23.3254359,0.5684734341755245,17.706272000000002,0.4315265658244755
0.4878048780487805,23.3069914,0.5673763622438958,17.771546500000003,0.43262363775610435
0.5365853658536586,23.4020608,0.5648711548343175,18.026963499999997,0.43512884516568257
0.5853658536585367,23.5808529,0.5624062265361751,18.3476532,0.4375937734638249
0.6341463414634146,23.664573700000002,0.5627840469696779,18.3845459,0.4372159530303222
0.6829268292682927,23.535445499999998,0.5598643319897677,18.502319999999997,0.4401356680102324
0.7317073170731707,23.502809199999998,0.5569073604370306,18.6995585,0.44309263956296935
0.7804878048780488,23.421926000000003,0.5542267695536789,18.8386202,0.44577323044632106
0.8292682926829269,23.526932600000002,0.5562259360430782,18.7705064,0.4437740639569218
0.8780487804878049,23.4261843,0.5553344383957628,18.7577371,0.44466556160423715
0.926829268292683,23.2232705,0.5527927585853794,18.7875376,0.4472072414146206
0.975609756097561,23.122522200000002,0.5510274523436243,18.8400372,0.4489725476563758
1.024390243902439,22.955082400000002,0.5504247467814272,18.7492242,0.44957525321857283
1.0731707317073171,23.1494832,0.5518938779217246,18.796050400000002,0.4481061220782753
1.1219512195121952,23.5212574,0.5562596933327825,18.763412300000002,0.44374030666721753
1.1707317073170733,23.6149081,0.557744500050398,18.7251026,0.442255499949602
1.2195121951219512,23.604974600000002,0.5601380774000221,18.5363751,0.4398619225999778
1.2682926829268293,23.4644976,0.5623526547279234,18.261094699999997,0.4376473452720765
1.3170731707317074,23.5496354,0.5656048945587474,18.0865591,0.43439510544125254
1.3658536585365855,23.661736100000002,0.5679294987854185,18.0014213,0.43207050121458146
1.4146341463414636,23.857554,0.5707633995044247,17.9418221,0.42923660049557527
1.4634146341463414,23.959723,0.5732270781659112,17.8382379,0.42677292183408877
1.5121951219512195,23.965396400000003,0.5746699750580092,17.7374895,0.42533002494199085
1.5609756097560976,24.012224500000002,0.5758516213556112,17.6864069,0.4241483786443888
1.6097560975609757,24.2009482,0.5779388341575855,17.6736357,0.4220611658424145
1.6585365853658538,24.1810831,0.5803553747999939,17.4849101,0.419644625200006
1.7073170731707317,24.236424,0.581624135385888,17.4338275,0.4183758646141121
1.7560975609756098,24.236424,0.5815053147650644,17.4423421,0.4184946852349355
1.8048780487804879,24.3087907,0.5811443751919324,17.5203859,0.41885562480806765
1.853658536585366,24.32582,0.5806847262194125,17.5657933,0.4193152737805874
1.902439024390244,24.192433599999998,0.5799365341892216,17.5232235,0.42006346581077825
1.951219512195122,24.029252,0.579176916836454,17.4593697,0.42082308316354605
2.0,24.134255,0.5775595796344,17.6523517,0.4224404203656001
