Phase(pi),In1_Out7_Raw,In1_Out7_Norm,In1_Out8_Raw,In1_Out8_Norm
0.0,16.5838574,0.3801899306207016,27.036070600000002,0.6198100693792984
0.05,16.5796009,0.37999343824003745,27.051681199999997,0.6200065617599626
0.1,16.633523,0.3806598124042109,27.0630335,0.6193401875957891
0.15000000000000002,16.647713,0.380613768343717,27.0914115,0.6193862316562829
0.2,16.6831869,0.38041280796241445,27.1722947,0.6195871920375856
0.25,16.8123152,0.3809903597082773,27.3156129,0.6190096402917226
0.30000000000000004,16.749878300000002,0.37975865194212344,27.3567621,0.6202413480578766
0.35000000000000003,16.647713,0.37978824464716965,27.186484699999998,0.6202117553528304
0.4,16.654808900000003,0.3804920769160618,27.116953799999997,0.6195079230839383
0.45,16.5526399,0.38046439101412144,26.9537704,0.6195356089858786
0.5,16.443380400000002,0.3809473799222352,26.721059800000003,0.6190526200777648
0.55,16.4589874,0.38089575748982885,26.7522773,0.6191042425101712
0.6000000000000001,16.5810216,0.3811913188184699,26.9168777,0.6188086811815301
0.65,16.4760149,0.37917308996561533,26.976475100000002,0.6208269100343847
0.7000000000000001,16.4788544,0.37930034559379733,26.9665434,0.6206996544062028
0.75,16.4859503,0.37910459107299865,27.0005985,0.6208954089270015
0.8,16.3284421,0.3792445685254316,26.7267351,0.6207554314745684
0.8500000000000001,16.2291144,0.37919959481048326,26.569228799999998,0.6208004051895167
0.9,16.1567459,0.37910498913132756,26.4613846,0.6208950108686724
0.9500000000000001,16.1737735,0.37910060003764756,26.4897662,0.6208993999623523
1.0,16.2972246,0.37960795240331124,26.6345014,0.6203920475966889
