Phase(pi),In1_Out7_Raw,In1_Out7_Norm,In1_Out8_Raw,In1_Out8_Norm
0.0,32.134150399999996,0.38444701021736666,51.4512321,0.6155529897826334
0.1,32.2008818,0.3851189869489488,51.4119311,0.6148810130510511
0.2,32.2178785,0.3847592553406878,51.517283299999995,0.6152407446593123
0.30000000000000004,32.2244668,0.3844106692069914,51.6037653,0.6155893307930085
0.4,32.2482738,0.3845145950332583,51.6192158,0.6154854049667418
0.5,32.23764,0.3843682779399557,51.6341097,0.6156317220600442
0.6000000000000001,32.219923,0.38439286506869935,51.600371100000004,0.6156071349313006
0.7000000000000001,32.1823281,0.3845301462192578,51.510272900000004,0.6154698537807423
0.8,32.011033899999994,0.3829129196714605,51.587696400000006,0.6170870803285394
0.9,31.9164501,0.3822079773772856,51.589002400000005,0.6177920226227144
1.0,31.8668681,0.3815397526144049,51.6548826,0.6184602473855951
1.1,31.853738600000003,0.38115742898318555,51.717343,0.6188425710168145
1.2000000000000002,31.8798702,0.3809384701662879,51.807845,0.6190615298337121
1.3,31.9442624,0.38092444272511,51.9155765,0.61907555727489
1.4000000000000001,32.0325635,0.3812040874979325,51.9973946,0.6187959125020676
1.5,32.149178899999995,0.38192877825740895,52.0266694,0.618071221742591
1.6,32.115353,0.3817088916269649,52.0203685,0.6182911083730351
1.7000000000000002,32.053143500000004,0.381417675136748,51.9837158,0.6185823248632519
1.8,31.994703,0.3816724642530447,51.832939800000005,0.6183275357469553
1.9000000000000001,31.9756182,0.3828106461802581,51.552931799999996,0.6171893538197418
2.0,32.0218169,0.3837076151193475,51.4318745,0.6162923848806525
